policy_version,sprint,task,detector_model_version,threshold_config,sampling_fps,window_size,required_frames,cooldown,clear_policy,false_alerts_before,false_alerts_after,fp_reduction_pct,missed_violations,mean_latency,status,benchmark,notes
cme2-alert-baseline-v1,Sprint 4,CME-2,cme1-expanded-12class-v1,Confidence_Calibration/configs/baseline.yaml,1,1,1,0,clear_frames=1,4,4,0,0,0.0,reference,frame_replay_temporal_benchmark,Immediate alert policy representing existing detection-as-alert behavior.
cme2-alert-calibrated-v1,Sprint 4,CME-2,cme1-expanded-12class-v1,Confidence_Calibration/configs/calibrated_thresholds.yaml,1,5,3,10,clear_frames=5,4,1,75.0,0,2.0,pitch_candidate,frame_replay_temporal_benchmark,Final calibrated policy for pitch: scene-level 3-of-5 temporal confirmation with smoke and water-leak thresholds raised to 0.50.
cme2-alert-calibrated-public-audit-v1,Sprint 4,CME-2,cme1-expanded-12class-v1,Confidence_Calibration/configs/calibrated_thresholds.yaml,2,5,3,10,clear_frames=5,30,6,80.0,9,157.41233333333335,domain_shift_audit,public_wikimedia_temporal_clips,Documents public-video domain shift; not the selected pass benchmark.
