run_id,run_name,sprint,task,stage,experiment_type,model_version,alert_policy_version,model_architecture,dataset,dataset_version,num_classes,epochs,batch_size,imgsz,optimizer,learning_rate,weight_decay,patience,seed,device,environment,precision,recall,map50,map50_95,best_weight_uri,last_weight_uri,exported_weight_uri,source_notebook,source_script,git_commit,status,tracking_origin,confidence_config,sampling_fps,window_size,required_frames,cooldown,clear_policy,false_alerts,missed_violations,fp_reduction_pct,mean_alert_latency,notes
REF-BASE-001,Original textile YOLOv8s baseline,Pre-Sprint-4,Baseline,Original Textile Model,model_training,baseline-textile-v1,,YOLOv8s,final_dataset,textile_defect_yolov8_final,7,20,18,640,not recorded,not recorded,not recorded,not recorded,not recorded,0,Google Colab T4,0.7697,0.7476,0.7882,0.4712,Google Drive Training_Results/yolov8s_textile_initial/best.pt,Google Drive Training_Results/yolov8s_textile_initial/last.pt,not recorded,Training/Textile_Defect_Detection_Training.ipynb,,b83c86f,archived,historical_backfill,,,,,,,,,Pre-Sprint-4 reference only; not counted as a Sprint 4 run.
CME1-EXP-001,Improved 7-class textile model,Sprint 4,CME-1,Improved Textile Training,model_training,cme1-textile-improved-v1,,YOLOv8s,final_dataset,textile_defect_yolov8_final,7,50,-1 auto-batch,640,SGD,0.01,not recorded,10,not recorded,0,Google Colab T4,0.8414971933080571,0.7823578625210965,0.8476106602306385,0.5407514297871069,Hazard_Expansion/content_runtime/improved_model_results/best.pt; Drive Training_Results/yolov8s_improved_7class/best.pt,/content/runs/improved_7class/weights/last.pt if exported,not recorded,Hazard_Expansion/02_improve_existing_model.ipynb,,b83c86f,superseded,historical_backfill,,,,,,,,,Notebook also contains commented second-iteration idea but no evidence that it ran.
CME1-EXP-002,Expanded 12-class phase 1 frozen transfer,Sprint 4,CME-1,Hazard Expansion Phase 1,model_training,cme1-expanded-12class-phase1,,YOLOv8s,combined_dataset,combined_dataset.zip,12,20,-1 auto-batch,640,SGD,0.005,not recorded,20,not recorded,0,Google Colab T4,not recorded,not recorded,not recorded,not recorded,/content_runtime/runs/expanded_12class_phase1/weights/best.pt,/content_runtime/runs/expanded_12class_phase1/weights/last.pt,not recorded,Hazard_Expansion/03_train_expanded_model.ipynb,,b83c86f,intermediate,historical_backfill,,,,,,,,,Freeze first 10 layers per notebook; phase-1 metrics were not preserved in available artifacts.
CME1-EXP-003,Expanded 12-class phase 2 final model,Sprint 4,CME-1,Hazard Expansion,model_training,cme1-expanded-12class-v1,,YOLOv8s,combined_dataset,combined_dataset.zip,12,60,-1 auto-batch,640,SGD,0.01,not recorded,15,not recorded,0,Friend laptop / exported to Drive,0.8126671652225884,0.7052972960380511,0.7655648682376032,0.44073793183169024,Backend/best.pt; Drive Training_Results/Expanded_12-class_model/best.pt,/home/talha/Downloads/expanded_training_20260909_2302/content_runtime/runs/expanded_12class_phase2/weights/last.pt if retained,not recorded,Hazard_Expansion/03_train_expanded_model.ipynb,,78a6b3b,pitch_candidate,historical_backfill,,,,,,,,,Final expanded checkpoint currently deployed through Backend/best.pt.
CME2-CAL-001,Immediate-alert baseline policy,Sprint 4,CME-2,Alert Baseline,calibration,cme1-expanded-12class-v1,cme2-alert-baseline-v1,YOLOv8s,frame_replay_temporal_benchmark,frame_replay_v1,12,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,local CPU benchmark,0.7142857142857143,1.0,inherited from detector,inherited from detector,Backend/best.pt; Drive Training_Results/Expanded_12-class_model/best.pt,not applicable,not applicable,,Confidence_Calibration/scripts/benchmark_alerts.py,78a6b3b,reference,historical_backfill,Confidence_Calibration/configs/baseline.yaml,1,1,1,0,clear_frames=1,4,0,0,0.0,Baseline reproduces immediate alert behavior using YOLO default confidence represented as 0.25.
CME2-CAL-002,Public Wikimedia calibrated video audit,Sprint 4,CME-2,Public Video Audit,calibration,cme1-expanded-12class-v1,cme2-alert-calibrated-v1,YOLOv8s,public_wikimedia_temporal_clips,wikimedia_audit_v1,12,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,local CPU benchmark,0.14285714285714285,0.1,inherited from detector,inherited from detector,Backend/best.pt; Drive Training_Results/Expanded_12-class_model/best.pt,not applicable,not applicable,,Confidence_Calibration/scripts/benchmark_alerts.py,78a6b3b,domain_shift_audit,historical_backfill,Confidence_Calibration/configs/calibrated_thresholds.yaml,2,5,3,10,clear_frames=5,6,9,80.0,157.41233333333335,False alerts reduced but missed violations remain high because public clips are outside detector domain.
CME2-CAL-003,Frame-replay calibrated policy,Sprint 4,CME-2,Frame-Replay DoD Benchmark,calibration,cme1-expanded-12class-v1,cme2-alert-calibrated-v1,YOLOv8s,frame_replay_temporal_benchmark,frame_replay_v1,12,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,local CPU benchmark,0.9090909090909091,1.0,inherited from detector,inherited from detector,Backend/best.pt; Drive Training_Results/Expanded_12-class_model/best.pt,not applicable,not applicable,,Confidence_Calibration/scripts/benchmark_alerts.py,78a6b3b,pass,historical_backfill,Confidence_Calibration/configs/calibrated_thresholds.yaml,1,5,3,10,clear_frames=5,1,0,75.0,2.0,CME-2 DoD pass on frame-replay benchmark: 4 to 1 false alerts and zero missed true violations.
SED1-BENCH-CPU-001,SED-1 local CPU multi-camera benchmark,Sprint 5,SED-1,Multi-Camera Stream Architecture,stream_benchmark,cme1-expanded-12class-v1,cme2-alert-calibrated-v1,YOLOv8s,public_wikimedia_temporal_clips,wikimedia_audit_v1,12,not applicable,not applicable,640,not applicable,not applicable,not applicable,not applicable,not applicable,cpu,local Windows CPU; CUDA unavailable,not applicable,not applicable,not applicable,not applicable,Backend/best.pt; Drive Training_Results/Expanded_12-class_model/best.pt,not applicable,not applicable,,SED_1_Multi_Camera/scripts/benchmark_multistream.py,pending,failed_local_cpu,manual_local_run,Confidence_Calibration/configs/calibrated_thresholds.yaml,5,5,3,10,clear_frames=5,not applicable,not applicable,not applicable,5196.519,3-stream CPU run: aggregate_fps=0.954 avg_fps_per_camera=0.318 eligible=104 processed=10 unexpected_drops=94 drop_rate=90.385%; architecture validated but performance DoD requires GPU/T4 run.
